No.,Player,Pos,Ht,Wt,Birth Date,...7,Exp,College,team
22,Andrew Wiggins,SF,6-7,197,"February 23, 1995",ca,7,Kansas,Golden State Warriors
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us,2,Marquette,Golden State Warriors
0,Gary Payton II,PG,6-3,190,"December 1, 1992",us,5,Oregon State,Golden State Warriors
8,Nemanja Bjelica,C,6-10,234,"May 9, 1988",rs,6,,Golden State Warriors
0,Jonathan Kuminga,SF,6-8,210,"October 6, 2002",cd,R,,Golden State Warriors
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us,12,Davidson,Golden State Warriors
32,Otto Porter Jr.,PF,6-8,198,"June 3, 1993",us,8,Georgetown,Golden State Warriors
1,Damion Lee,SG,6-5,210,"October 21, 1992",us,4,"Drexel, Louisville",Golden State Warriors
4,Moses Moody,SG,6-6,205,"May 31, 2002",us,R,Arkansas,Golden State Warriors
23,Draymond Green,PF,6-6,230,"March 4, 1990",us,9,Michigan State,Golden State Warriors
2,Chris Chiozza  (TW),PG,5-11,175,"November 21, 1995",us,3,Florida,Golden State Warriors
11,Klay Thompson,SG,6-6,215,"February 8, 1990",us,8,Washington State,Golden State Warriors
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,17,Arizona,Golden State Warriors
12,Quinndary Weatherspoon  (TW),SG,6-3,205,"September 10, 1996",us,2,Mississippi State,Golden State Warriors
NA,James Wiseman,C,7-0,240,"March 31, 2001",us,1,Memphis,Golden State Warriors
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca,7,Stanford,Dallas Mavericks
10,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us,5,Florida,Dallas Mavericks
13,Jalen Brunson,PG,6-1,190,"August 31, 1996",us,3,Villanova,Dallas Mavericks
25,Reggie Bullock,SF,6-6,205,"March 16, 1991",us,8,UNC,Dallas Mavericks
8,Josh Green,SG,6-5,200,"November 16, 2000",au,1,Arizona,Dallas Mavericks
77,Luka Dončić,PG,6-7,230,"February 28, 1999",si,3,,Dallas Mavericks
42,Maxi Kleber,PF,6-10,240,"January 29, 1992",de,4,,Dallas Mavericks
21,Frank Ntilikina,PG,6-4,200,"July 28, 1998",be,4,,Dallas Mavericks
0,Sterling Brown,SG,6-5,219,"February 10, 1995",us,4,SMU,Dallas Mavericks
11,Tim Hardaway Jr.,SG,6-5,205,"March 16, 1992",us,8,Michigan,Dallas Mavericks
3,Trey Burke,PG,6-0,185,"November 12, 1992",us,8,Michigan,Dallas Mavericks
32,Marquese Chriss,PF,6-9,240,"July 2, 1997",us,5,Washington,Dallas Mavericks
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us,7,Colorado,Dallas Mavericks
51,Boban Marjanović,C,7-3,290,"August 15, 1988",rs,6,,Dallas Mavericks
44,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv,5,,Dallas Mavericks
1,Theo Pinson  (TW),SF,6-5,212,"November 5, 1995",us,3,UNC,Dallas Mavericks
5,Moses Wright  (TW),PF,6-9,233,"December 23, 1998",us,R,Georgia Tech,Dallas Mavericks
0,Jordan Clarkson,SG,6-4,194,"June 7, 1992",us,7,"Tulsa, Missouri",Utah Jazz
23,Royce O'Neale,SF,6-4,226,"June 5, 1993",us,4,"Denver, Baylor",Utah Jazz
11,Mike Conley,PG,6-1,175,"October 11, 1987",us,14,Ohio State,Utah Jazz
44,Bojan Bogdanović,PF,6-7,226,"April 18, 1989",ba,7,,Utah Jazz
45,Donovan Mitchell,SG,6-1,215,"September 7, 1996",us,4,Louisville,Utah Jazz
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr,8,,Utah Jazz
21,Hassan Whiteside,C,7-0,265,"June 13, 1989",us,9,Marshall,Utah Jazz
3,Trent Forrest,PG,6-4,210,"June 12, 1998",us,1,Florida State,Utah Jazz
0,Eric Paschall,PF,6-6,255,"November 4, 1996",us,2,"Fordham, Villanova",Utah Jazz
8,Rudy Gay,PF,6-8,250,"August 17, 1986",us,15,UConn,Utah Jazz
13,Jared Butler,SG,6-3,195,"August 25, 2000",us,R,Baylor,Utah Jazz
25,Danuel House Jr.,SF,6-6,220,"June 7, 1993",us,5,Texas A&M,Utah Jazz
41,Juancho Hernangómez,PF,6-9,214,"September 28, 1995",es,5,,Utah Jazz
20,Udoka Azubuike,C,6-10,280,"September 17, 1999",ng,1,Kansas,Utah Jazz
6,Nickeil Alexander-Walker,SG,6-6,205,"September 2, 1998",ca,2,Virginia Tech,Utah Jazz
19,Xavier Sneed  (TW),SF,6-5,215,"December 21, 1997",us,R,Kansas State,Utah Jazz
50,Aaron Gordon,PF,6-8,235,"September 16, 1995",us,7,Arizona,Denver Nuggets
11,Monte Morris,PG,6-2,183,"June 27, 1995",us,4,Iowa State,Denver Nuggets
32,Jeff Green,C,6-8,235,"August 28, 1986",us,13,Georgetown,Denver Nuggets
15,Nikola Jokić,C,6-11,284,"February 19, 1995",rs,6,,Denver Nuggets
5,Will Barton,SG,6-6,181,"January 6, 1991",us,9,Memphis,Denver Nuggets
3,Bones Hyland,PG,6-3,173,"September 14, 2000",us,R,VCU,Denver Nuggets
0,JaMychal Green,PF,6-8,227,"June 21, 1990",us,7,Alabama,Denver Nuggets
25,Austin Rivers,SG,6-4,200,"August 1, 1992",us,9,Duke,Denver Nuggets
7,Facundo Campazzo,PG,5-10,195,"March 23, 1991",ar,1,,Denver Nuggets
9,Davon Reed  (TW),SG,6-5,208,"June 11, 1995",us,2,Miami (FL),Denver Nuggets
22,Zeke Nnaji,PF,6-9,240,"January 9, 2001",us,1,Arizona,Denver Nuggets
6,Bryn Forbes,SG,6-2,205,"July 23, 1993",us,5,Michigan State,Denver Nuggets
4,DeMarcus Cousins,C,6-10,270,"August 13, 1990",us,10,Kentucky,Denver Nuggets
0,Markus Howard  (TW),SG,5-10,175,"March 3, 1999",us,1,Marquette,Denver Nuggets
31,Vlatko Čančar,PF,6-8,236,"April 10, 1997",si,2,,Denver Nuggets
1,Michael Porter Jr.,SF,6-10,218,"June 29, 1998",us,2,Missouri,Denver Nuggets
NA,Jamal Murray,PG,6-3,215,"February 23, 1997",ca,5,Kentucky,Denver Nuggets
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us,5,Florida State,Minnesota Timberwolves
11,Naz Reid,C,6-9,264,"August 26, 1999",us,2,LSU,Minnesota Timberwolves
32,Karl-Anthony Towns,C,6-11,248,"November 15, 1995",us,6,Kentucky,Minnesota Timberwolves
8,Jarred Vanderbilt,PF,6-9,214,"April 3, 1999",us,3,Kentucky,Minnesota Timberwolves
1,Anthony Edwards,SG,6-4,225,"August 5, 2001",us,1,Georgia,Minnesota Timberwolves
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us,1,Washington,Minnesota Timberwolves
12,Taurean Prince,PF,6-7,218,"March 22, 1994",us,5,Baylor,Minnesota Timberwolves
0,D'Angelo Russell,PG,6-4,193,"February 23, 1996",us,6,Ohio State,Minnesota Timberwolves
4,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us,2,Washington,Minnesota Timberwolves
6,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us,2,USC,Minnesota Timberwolves
22,Patrick Beverley,PG,6-1,180,"July 12, 1988",us,9,Arkansas,Minnesota Timberwolves
20,Josh Okogie,SG,6-4,213,"September 1, 1998",ng,3,Georgia Tech,Minnesota Timberwolves
13,Nathan Knight  (TW),PF,6-10,253,"September 20, 1997",us,1,William & Mary,Minnesota Timberwolves
9,Leandro Bolmaro,SF,6-6,200,"September 11, 2000",ar,R,,Minnesota Timberwolves
10,Jake Layman,SF,6-8,209,"March 7, 1994",us,5,Maryland,Minnesota Timberwolves
25,McKinley Wright IV  (TW),PG,6-0,196,"October 25, 1998",us,R,Colorado,Minnesota Timberwolves
55,Greg Monroe,C,6-11,265,"June 4, 1990",us,9,Georgetown,Minnesota Timberwolves
14,Terance Mann,SF,6-5,215,"October 18, 1996",us,2,Florida State,Los Angeles Clippers
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba,5,,Los Angeles Clippers
1,Reggie Jackson,SG,6-2,208,"April 16, 1990",it,10,Boston College,Los Angeles Clippers
5,Luke Kennard,SG,6-5,206,"June 24, 1996",us,4,Duke,Los Angeles Clippers
7,Amir Coffey,SG,6-7,210,"June 17, 1997",us,2,Minnesota,Los Angeles Clippers
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us,3,,Los Angeles Clippers
33,Nicolas Batum,PF,6-8,230,"December 14, 1988",fr,13,,Los Angeles Clippers
8,Marcus Morris,PF,6-8,218,"September 2, 1989",us,10,Kansas,Los Angeles Clippers
4,Brandon Boston Jr.,SG,6-7,185,"November 28, 2001",us,R,Kentucky,Los Angeles Clippers
13,Paul George,SF,6-8,220,"May 2, 1990",us,11,Fresno State,Los Angeles Clippers
23,Robert Covington,SF,6-7,209,"December 14, 1990",us,8,Tennessee State,Los Angeles Clippers
0,Jay Scrubb  (TW),SG,6-5,220,"September 1, 2000",us,1,John A. Logan College,Los Angeles Clippers
22,Rodney Hood,SG,6-8,208,"October 20, 1992",us,7,"Mississippi State, Duke",Los Angeles Clippers
15,Xavier Moon  (TW),SG,6-2,165,"January 2, 1995",us,R,"Northwest Florida State College, Morehead State University",Los Angeles Clippers
24,Norman Powell,SG,6-3,215,"May 25, 1993",us,6,UCLA,Los Angeles Clippers
NA,Jason Preston,PG,6-4,187,"August 10, 1999",us,R,Ohio University,Los Angeles Clippers
NA,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us,10,San Diego State,Los Angeles Clippers
5,Herbert Jones,PF,6-8,210,"October 6, 1998",us,R,Alabama,New Orleans Pelicans
4,Devonte' Graham,PG,6-1,195,"February 22, 1995",us,3,Kansas,New Orleans Pelicans
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt,9,,New Orleans Pelicans
10,Jaxson Hayes,C,6-11,220,"May 23, 2000",us,2,Texas,New Orleans Pelicans
25,Trey Murphy III,SF,6-9,206,"June 18, 2000",us,R,"Rice University, Virginia",New Orleans Pelicans
41,Garrett Temple,SG,6-5,195,"May 8, 1986",us,11,LSU,New Orleans Pelicans
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us,5,Duke,New Orleans Pelicans
8,Naji Marshall,SF,6-7,220,"January 24, 1998",us,1,Xavier,New Orleans Pelicans
15,Jose Alvarado,PG,6-0,179,"April 12, 1998",us,R,Georgia Tech,New Orleans Pelicans
9,Willy Hernangómez,C,6-11,250,"May 27, 1994",es,5,,New Orleans Pelicans
12,Gary Clark  (TW),PF,6-6,225,"November 16, 1994",us,3,Cincinnati,New Orleans Pelicans
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us,8,Lehigh,New Orleans Pelicans
13,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us,1,Alabama,New Orleans Pelicans
21,Tony Snell,SG,6-6,213,"November 10, 1991",us,8,New Mexico,New Orleans Pelicans
22,Larry Nance Jr.,PF,6-7,245,"January 1, 1993",us,6,Wyoming,New Orleans Pelicans
2,Jared Harper  (TW),PG,5-10,175,"September 14, 1997",us,2,Auburn,New Orleans Pelicans
NA,Zion Williamson,PF,6-6,284,"July 6, 2000",us,2,Duke,New Orleans Pelicans
3,Keldon Johnson,SF,6-5,220,"October 11, 1999",us,2,Kentucky,San Antonio Spurs
24,Devin Vassell,SF,6-5,200,"August 23, 2000",us,1,Florida State,San Antonio Spurs
1,Lonnie Walker IV,SG,6-4,204,"December 14, 1998",us,3,Miami (FL),San Antonio Spurs
33,Tre Jones,PG,6-1,185,"January 8, 2000",us,1,Duke,San Antonio Spurs
5,Dejounte Murray,PG,6-4,180,"September 19, 1996",us,4,Washington,San Antonio Spurs
25,Jakob Poeltl,C,7-1,245,"October 15, 1995",at,5,Utah,San Antonio Spurs
31,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",us,3,Ohio State,San Antonio Spurs
34,Jock Landale,C,6-11,256,"October 25, 1995",au,R,Saint Mary's,San Antonio Spurs
17,Doug McDermott,PF,6-7,225,"January 3, 1992",us,7,Creighton,San Antonio Spurs
11,Joshua Primo,SG,6-6,190,"December 24, 2002",ca,R,Alabama,San Antonio Spurs
15,Joe Wieskamp,SG,6-6,212,"August 23, 1999",us,R,Iowa,San Antonio Spurs
23,Zach Collins,PF,6-11,250,"November 19, 1997",us,3,Gonzaga,San Antonio Spurs
7,Josh Richardson,SG,6-5,200,"September 15, 1993",us,6,Tennessee,San Antonio Spurs
18,Devontae Cacok,PF,6-7,240,"October 8, 1996",us,2,UNC Wilmington,San Antonio Spurs
35,Romeo Langford,SG,6-4,216,"October 25, 1999",us,2,Indiana,San Antonio Spurs
NA,D. J. Stewart Jr.  (TW),SG,6-6,205,"July 28, 1999",us,R,Mississippi State,San Antonio Spurs
NA,Robert Woodard II  (TW),SF,6-6,235,"September 22, 1999",us,1,Mississippi State,San Antonio Spurs
0,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,13,UCLA,Los Angeles Lakers
11,Malik Monk,SG,6-3,200,"February 4, 1998",us,4,Kentucky,Los Angeles Lakers
7,Carmelo Anthony,PF,6-7,238,"May 29, 1984",us,18,Syracuse,Los Angeles Lakers
20,Avery Bradley,SG,6-3,180,"November 26, 1990",us,11,Texas,Los Angeles Lakers
15,Austin Reaves,SG,6-5,206,"May 29, 1998",us,R,"Wichita State, Oklahoma",Los Angeles Lakers
5,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us,2,Iowa State,Los Angeles Lakers
39,Dwight Howard,C,6-10,265,"December 8, 1985",us,17,,Los Angeles Lakers
6,LeBron James,SF,6-9,250,"December 30, 1984",us,18,,Los Angeles Lakers
14,Stanley Johnson,PF,6-6,242,"May 29, 1996",us,6,Arizona,Los Angeles Lakers
2,Wayne Ellington,SG,6-4,207,"November 29, 1987",us,12,UNC,Los Angeles Lakers
3,Anthony Davis,C,6-10,253,"March 11, 1993",us,9,Kentucky,Los Angeles Lakers
9,Kent Bazemore,SF,6-4,195,"July 1, 1989",us,9,Old Dominion,Los Angeles Lakers
4,D.J. Augustin,PG,5-11,183,"November 10, 1987",us,13,Texas,Los Angeles Lakers
35,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd,2,Kentucky,Los Angeles Lakers
40,Mason Jones  (TW),SG,6-4,200,"July 21, 1998",us,1,"Connors State College, Arkansas",Los Angeles Lakers
37,Mac McClung  (TW),SG,6-2,185,"January 6, 1999",us,R,"Georgetown, Texas Tech",Los Angeles Lakers
NA,Kendrick Nunn,PG,6-2,190,"August 3, 1995",us,2,"Illinois, Oakland",Los Angeles Lakers
40,Harrison Barnes,PF,6-8,225,"May 30, 1992",us,9,UNC,Sacramento Kings
15,Davion Mitchell,PG,6-2,205,"September 5, 1998",us,R,"Auburn, Baylor",Sacramento Kings
7,Chimezie Metu,C,6-9,225,"March 22, 1997",us,3,USC,Sacramento Kings
5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us,4,Kentucky,Sacramento Kings
30,Damian Jones,C,6-11,245,"June 30, 1995",us,5,Vanderbilt,Sacramento Kings
8,Maurice Harkless,SF,6-7,220,"May 11, 1993",us,9,St. John's,Sacramento Kings
22,Richaun Holmes,C,6-10,235,"October 15, 1993",us,6,Bowling Green,Sacramento Kings
25,Alex Len,C,7-0,250,"June 16, 1993",ua,8,Maryland,Sacramento Kings
3,Terence Davis,SG,6-4,201,"May 16, 1997",us,2,Ole Miss,Sacramento Kings
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us,3,Villanova,Sacramento Kings
9,Justin Holiday,SG,6-6,180,"April 5, 1989",us,8,Washington,Sacramento Kings
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca,6,Kentucky,Sacramento Kings
26,Jeremy Lamb,SG,6-5,180,"May 30, 1992",us,9,UConn,Sacramento Kings
10,Domantas Sabonis,PF,6-11,240,"May 3, 1996",us,5,Gonzaga,Sacramento Kings
88,Neemias Queta  (TW),C,7-0,245,"July 13, 1999",pt,R,Utah State University,Sacramento Kings
55,Josh Jackson,SF,6-8,207,"February 10, 1997",us,4,Kansas,Sacramento Kings
23,Ben McLemore,SG,6-3,195,"February 11, 1993",us,8,Kansas,Portland Trail Blazers
16,CJ Elleby,SF,6-6,200,"June 16, 2000",us,1,Washington State,Portland Trail Blazers
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",us,3,,Portland Trail Blazers
27,Jusuf Nurkić,C,6-11,290,"August 23, 1994",ba,7,,Portland Trail Blazers
2,Trendon Watford,SF,6-9,240,"November 9, 2000",us,R,LSU,Portland Trail Blazers
4,Greg Brown III,SF,6-9,205,"September 1, 2001",us,R,Texas,Portland Trail Blazers
9,Nassir Little,SF,6-5,220,"February 11, 2000",us,2,UNC,Portland Trail Blazers
21,Keljin Blevins  (TW),SF,6-4,200,"November 24, 1995",us,1,"Southern Miss, Montana State",Portland Trail Blazers
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us,9,Weber State,Portland Trail Blazers
"5, 8",Brandon Williams  (TW),PG,6-2,190,"November 22, 1999",us,R,Arizona,Portland Trail Blazers
6,Keon Johnson,SG,6-5,186,"March 10, 2002",us,R,Tennessee,Portland Trail Blazers
19,Elijah Hughes,SG,6-5,215,"March 10, 1998",us,1,"Syracuse, East Carolina University",Portland Trail Blazers
11,Josh Hart,SF,6-5,215,"March 6, 1995",us,4,Villanova,Portland Trail Blazers
26,Justise Winslow,SF,6-6,222,"March 26, 1996",us,6,Duke,Portland Trail Blazers
35,Didi Louzada,SG,6-5,188,"February 7, 1999",br,1,,Portland Trail Blazers
,Joe Ingles,SF,6-8,220,"October 2, 1987",au,7,,Portland Trail Blazers
,Eric Bledsoe,PG,6-1,214,"December 9, 1989",us,11,Kentucky,Portland Trail Blazers
7,Darius Bazley,PF,6-8,208,"June 12, 2000",us,2,,Oklahoma City Thunder
17,Aleksej Pokusevski,PF,7-0,190,"December 26, 2001",rs,1,,Oklahoma City Thunder
23,Tre Mann,PG,6-3,178,"February 3, 2001",us,R,Florida,Oklahoma City Thunder
2,Shai Gilgeous-Alexander,PG,6-6,180,"July 12, 1998",ca,3,Kentucky,Oklahoma City Thunder
3,Josh Giddey,SG,6-8,210,"October 10, 2002",au,R,,Oklahoma City Thunder
5,Luguentz Dort,SF,6-3,215,"April 19, 1999",ca,2,Arizona State,Oklahoma City Thunder
11,Théo Maledon,PG,6-4,175,"June 12, 2001",fr,1,,Oklahoma City Thunder
21,Aaron Wiggins,SG,6-6,200,"January 2, 1999",us,R,Maryland,Oklahoma City Thunder
50,Jeremiah Robinson-Earl,C,6-9,230,"November 3, 2000",us,R,Villanova,Oklahoma City Thunder
34,Kenrich Williams,SF,6-6,210,"December 2, 1994",us,3,TCU,Oklahoma City Thunder
16,Ty Jerome,SG,6-5,195,"July 8, 1997",us,2,Virginia,Oklahoma City Thunder
22,Isaiah Roby,PF,6-8,230,"February 3, 1998",us,2,Nebraska,Oklahoma City Thunder
33,Mike Muscala,C,6-10,240,"July 1, 1991",us,8,Bucknell,Oklahoma City Thunder
15,Derrick Favors,C,6-9,265,"July 15, 1991",us,11,Georgia Tech,Oklahoma City Thunder
27,Vit Krejci,SG,6-8,195,"June 19, 2000",cz,R,,Oklahoma City Thunder
12,Lindy Waters III  (TW),SG,6-6,215,"July 28, 1997",us,R,Oklahoma State,Oklahoma City Thunder
6,Gabriel Deck,PF,6-8,232,"February 8, 1995",ar,1,,Oklahoma City Thunder
6,Melvin Frazier,SG,6-5,215,"August 30, 1996",us,2,Tulane,Oklahoma City Thunder
6,Kenyon Martin Jr.,SF,6-6,215,"January 6, 2001",us,1,,Houston Rockets
8,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",us,1,Ohio State,Houston Rockets
9,Josh Christopher,SG,6-5,215,"December 8, 2001",us,R,Arizona State,Houston Rockets
28,Alperen Şengün,C,6-9,235,"July 25, 2002",tr,R,,Houston Rockets
35,Christian Wood,C,6-10,214,"September 27, 1995",us,5,UNLV,Houston Rockets
0,Jalen Green,SG,6-4,178,"February 9, 2002",us,R,,Houston Rockets
25,Garrison Mathews,SG,6-5,215,"October 24, 1996",us,2,Lipscomb,Houston Rockets
3,Kevin Porter Jr.,PG,6-4,203,"May 4, 2000",us,2,USC,Houston Rockets
10,Eric Gordon,SG,6-3,215,"December 25, 1988",us,13,Indiana,Houston Rockets
2,David Nwaba,SF,6-5,219,"January 14, 1993",us,5,Cal Poly,Houston Rockets
15,Daishen Nix,SG,6-5,224,"February 13, 2002",us,R,,Houston Rockets
16,Usman Garuba,PF,6-8,220,"March 9, 2002",es,R,,Houston Rockets
17,Dennis Schröder,PG,6-3,172,"September 15, 1993",de,8,,Houston Rockets
20,Bruno Fernando,C,6-9,240,"August 15, 1998",ao,2,Maryland,Houston Rockets
21,Trevelin Queen  (TW),SG,6-6,190,"February 25, 1997",us,R,"College of Marin, New Mexico Military Institute, New Mexico State",Houston Rockets
NA,John Wall,PG,6-3,210,"September 6, 1990",us,10,Kentucky,Houston Rockets
NA,Anthony Lamb  (TW),SF,6-6,227,"January 20, 1998",us,1,University of Vermont,Houston Rockets
